CTPS Code,CTPS Name,Customer Code,Domestic/International
010267,COCA COLA BATON ROUGE,503855,DOMESTIC
010021,ACE HILL BEER EAST YORK,509982,DOMESTIC
010169,BRECKENRIDGE BREWERY,468931,DOMESTIC
010169,BRECKENRIDGE BREWERY,533253,DOMESTIC
010169,BRECKENRIDGE BREWERY,493861,DOMESTIC
010022,AGA SA DE,554433,DOMESTIC
010068,AUMAKUA HOLDINGS,548842,DOMESTIC
010068,AUMAKUA HOLDINGS,41380,DOMESTIC
010023,AGAINST THE GRAIN,450386,DOMESTIC
010296,COCA COLA MCALLEN,505981,DOMESTIC
010296,COCA COLA MCALLEN,546732,DOMESTIC
010296,COCA COLA MCALLEN,42526,DOMESTIC
010024,AJEMEX HUEJOTZINGO,497475,DOMESTIC
010024,AJEMEX HUEJOTZINGO,497459,DOMESTIC
010302,COCA COLA NACODOCHES,505990,DOMESTIC
010281,COCA COLA DENVER,515320,DOMESTIC
010281,COCA COLA DENVER,543427,DOMESTIC
010281,COCA COLA DENVER,514677,DOMESTIC
010025,ALASKA TRAFFIC,510001,DOMESTIC
010312,COCA COLA SAN ANTONIO,506001,DOMESTIC
010312,COCA COLA SAN ANTONIO,32504,DOMESTIC
010026,ALCHEMY AND SCIENCE,481086,DOMESTIC
010026,ALCHEMY AND SCIENCE,525780,DOMESTIC
010781,OSKAR BLUES LONGMONT,494071,DOMESTIC
010817,PEPSI TAMPA,30808,DOMESTIC
010306,COCA COLA ORLANDO,503687,DOMESTIC
010224,CAWY MIAMI,31878,DOMESTIC
010289,COCA COLA HOLLYWOOD,503695,DOMESTIC
010028,ALFA PAPER PRODUCTS,191661,DOMESTIC
010251,CIGAR CITY BREWING,494063,DOMESTIC
010251,CIGAR CITY BREWING,494055,DOMESTIC
010029,ALL NIGHT LONG WINDSOR,519241,DOMESTIC
010949,SHASTA MIAMI,37014,DOMESTIC
010030,ALLAGASH BREWING,522618,DOMESTIC
010030,ALLAGASH BREWING,556244,DOMESTIC
010279,COCA COLA COLLEGE PARK,506546,DOMESTIC
010279,COCA COLA COLLEGE PARK,446619,DOMESTIC
010279,COCA COLA COLLEGE PARK,44619,DOMESTIC
010683,MILLERCOORS ALBANY,37065,DOMESTIC
010031,ALLAN COMPANY BALDWIN PARK,519911,INTERNATIONAL
011001,SWEETWATER BREWING,286053,DOMESTIC
010032,ALTO SYSTEMS,543128,DOMESTIC
010290,COCA COLA HONULULU,499809,DOMESTIC
010290,COCA COLA HONULULU,545941,DOMESTIC
010033,AMERICAN CANNING AUSTIN,521412,DOMESTIC
010033,AMERICAN CANNING AUSTIN,524541,DOMESTIC
010033,AMERICAN CANNING AUSTIN,538476,DOMESTIC
010033,AMERICAN CANNING AUSTIN,556279,DOMESTIC
010033,AMERICAN CANNING AUSTIN,552753,DOMESTIC
010033,AMERICAN CANNING AUSTIN,586873,DOMESTIC
010033,AMERICAN CANNING AUSTIN,591736,DOMESTIC
010088,BALL BEVERAGE PKG HEINEKEN,494186,INTERNATIONAL
010276,COCA COLA CHESTERMAN,497109,DOMESTIC
010276,COCA COLA CHESTERMAN,546003,DOMESTIC
010288,COCA COLA FRUITLAND,32475,DOMESTIC
010288,COCA COLA FRUITLAND,543419,DOMESTIC
010288,COCA COLA FRUITLAND,66536,DOMESTIC
010090,BALL BEVERAGE PKG RECKLINGHAUSEN,525712,INTERNATIONAL
011128,WISPAK WATERTOWN,35861,DOMESTIC
010292,COCA COLA INDIANAPOLIS,506116,DOMESTIC
011126,WISPAK NORFOLK,487859,DOMESTIC
011126,WISPAK NORFOLK,533683,DOMESTIC
011126,WISPAK NORFOLK,40150,DOMESTIC
010034,AMERICAN CANNING PORTLAND,526547,DOMESTIC
